GFNORTEO,AMXL,AMXL
WALMEX*,GFINBURO,GFINBURO
AMXL,MXN,MXN
FEMSAUBD,ALSEA*,ALSEA*
GMEXICOB,LIVEPOLC.1,LIVEPOLC.1
CEMEXCPO,BBAJIOO,BBAJIOO
BIMBOA,Q*,Q*
GAPB,GCC*,GCC*
ASURB,VESTA*,VESTA*
GFINBURO,BOLSAA,BOLSAA
AC*,MEGACPO,MEGACPO
KOFUBL,GCARSOA1,GCARSOA1
ELEKTRA*,CUERVO*,CUERVO*
TLEVISACPO,WALMEX*,#N/D
BBAJIOO,ALFAA,ALFAA
PE&OLES*,PE&OLES*,PE&OLES*
KIMBERA,PINFRA*,PINFRA*
GRUMAB,AC*,#N/D
OMAB,TLEVISACPO,#N/D
GCARSOA1,GMEXICOB,#N/D
ALFAA,FEMSAUBD,#N/D
PINFRA*,GFNORTEO,#N/D
ORBIA*,OMAB,#N/D
VESTA*,GAPB,#N/D
GCC*,ELEKTRA*,#N/D
LIVEPOLC.1,CEMEXCPO,#N/D
GENTERA*,ASURB,#N/D
ALSEA*,KIMBERA,#N/D
RA,GRUMAB,#N/D
CUERVO*,KOFUBL,#N/D
MXN,BIMBOA,#N/D
SITES1A-1,ORBIA*,#N/D
Q*,,
BOLSAA,,
VOLARA,,
MEGACPO,,
LASITEB.1,,
